"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2357","transitionToLogoStellarBurgerTest[1]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","1804","transitionToLogoStellarBurgerTest[0]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","2464","logInBylogInButtonRegistrationTest[1]","","","passed","","","LogInTest","LogInTest",""
"","3580","exitPersonalAccountPageTest[1]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","1814","transitionToConstructorTest[0]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","2641","logInByLoginButtonTest[0]","","","passed","","","LogInTest","LogInTest",""
"","1967","failedRegistrationTest[1]","","","passed","","","RegistrationTest","RegistrationTest",""
"","1678","failedRegistrationTest[0]","","","passed","","","RegistrationTest","RegistrationTest",""
"","2654","logInBylogInButtonPasswordRecoveryFormTest[0]","","","passed","","","LogInTest","LogInTest",""
"","1786","transitionToPersonalAccountPageTest[0]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","2005","registrationTest[1]","","","passed","","","RegistrationTest","RegistrationTest",""
"","3100","exitPersonalAccountPageTest[0]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","2408","logInByPersonalAccountButtonTest[0]","","","passed","","","LogInTest","LogInTest",""
"","1369","transitionSaucesConstructorTest[0]","","","passed","","","ConstructorTest","ConstructorTest",""
"","2895","logInByPersonalAccountButtonTest[1]","","","passed","","","LogInTest","LogInTest",""
"","1927","logInBylogInButtonRegistrationTest[0]","","","passed","","","LogInTest","LogInTest",""
"","1624","transitionBunsConstructorTest[1]","","","passed","","","ConstructorTest","ConstructorTest",""
"","1757","transitionSaucesConstructorTest[1]","","","passed","","","ConstructorTest","ConstructorTest",""
"","3027","logInBylogInButtonPasswordRecoveryFormTest[1]","","","passed","","","LogInTest","LogInTest",""
"","1704","registrationTest[0]","","","passed","","","RegistrationTest","RegistrationTest",""
"","2199","transitionToPersonalAccountPageTest[1]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","1926","transitionFillingsConstructorTest[1]","","","passed","","","ConstructorTest","ConstructorTest",""
"","1241","transitionBunsConstructorTest[0]","","","passed","","","ConstructorTest","ConstructorTest",""
"","2280","transitionFillingsConstructorTest[0]","","","passed","","","ConstructorTest","ConstructorTest",""
"","2105","transitionToConstructorTest[1]","","","passed","","","TransferToPersonalAccountTest","TransferToPersonalAccountTest",""
"","2868","logInByLoginButtonTest[1]","","","passed","","","LogInTest","LogInTest",""
